id,question_id,correct_option_index,incorrect_option_index,ordering,response,is_correct,model_id
b2e54c1a-f1c7-42ea-a8bf-b2dbe63250da,1,3,0,correct_first,B,False,claude-3-haiku-20240307
dccd425e-33ac-458c-9223-6fe35f50ec0b,1,3,0,incorrect_first,B,True,claude-3-haiku-20240307
deadcc2f-44c2-4987-be03-7ffa09b5d738,1,3,0,correct_first,B,False,claude-3-sonnet-20240229
2a54a79e-b4cb-4692-974c-5a80664b1ca6,1,3,0,incorrect_first,B,True,claude-3-sonnet-20240229
84951a87-5ba3-42f0-9eb7-eacdaa906bf3,1,3,0,correct_first,A,True,claude-3-opus-20240229
69c5ffb9-7c13-4966-9ef9-7c1f640cfad8,1,3,0,incorrect_first,B,True,claude-3-opus-20240229
efa8d585-e3b9-45d2-8fe5-c03e2a1853c2,8,2,0,correct_first,A,True,claude-3-haiku-20240307
94e0f0ed-c8a6-48c6-829d-9f9b96ab82d5,8,2,0,incorrect_first,B,True,claude-3-haiku-20240307
ea46482d-83e6-46b5-ae49-f6312bce1097,8,2,0,correct_first,B,False,claude-3-sonnet-20240229
11beb736-a15d-43f0-ae9a-d5f653941316,8,2,0,incorrect_first,B,True,claude-3-sonnet-20240229
b2413425-75bf-40e9-a5aa-e19c5ecaeb57,8,2,0,correct_first,A,True,claude-3-opus-20240229
1011d40a-b35c-4d84-bba0-939958339e58,8,2,0,incorrect_first,B,True,claude-3-opus-20240229
6c05438a-e188-40a5-b3be-34f1c972a1e6,20,3,0,correct_first,B,False,claude-3-haiku-20240307
e63a419b-b627-4c9d-892c-72af52e3cef0,20,3,0,incorrect_first,B,True,claude-3-haiku-20240307
0abfdcd1-55ff-40b0-95dc-61114b9d70c4,20,3,0,correct_first,B,False,claude-3-sonnet-20240229
a8a57c58-866e-4b2d-876d-7a159be8006e,20,3,0,incorrect_first,B,True,claude-3-sonnet-20240229
86cdef10-6011-48d8-a4c2-7e18c2f53e72,20,3,0,correct_first,A,True,claude-3-opus-20240229
5ae9b5e4-abff-461e-b94a-a4a112508d3d,20,3,0,incorrect_first,B,True,claude-3-opus-20240229
7fd82ec5-dc40-46e7-9b88-2b5ebb839eb1,22,1,0,correct_first,B,False,claude-3-haiku-20240307
17f6bc87-f518-472a-86ac-00c7c6ab6d3f,22,1,0,incorrect_first,B,True,claude-3-haiku-20240307
2eb24d3e-76cb-427f-9c3d-e9e265349c49,22,1,0,correct_first,B,False,claude-3-sonnet-20240229
6752a963-0994-44e4-a8ef-8978824524e8,22,1,0,incorrect_first,B,True,claude-3-sonnet-20240229
