id,question_id,correct_option_index,incorrect_option_index,ordering,response,correct_option_argument_id,incorrect_option_argument_id,is_correct,model_id
c72229f8-f888-4973-9799-cd4bf383aa46,1,3,0,correct_first,A,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-haiku-20240307
a66ac198-b8f7-44e1-97de-0157993dc7a9,1,3,0,incorrect_first,B,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-haiku-20240307
3a83afd8-a081-411d-8c7e-7e62a333ae24,1,3,0,correct_first,A,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-sonnet-20240229
d2e53029-f0c6-4f5b-9916-fd3ca6af3ada,1,3,0,incorrect_first,B,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-sonnet-20240229
77a3a4d2-43bb-4c97-90e7-71d655dac2ce,1,3,0,correct_first,A,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-opus-20240229
1f37e509-0021-46b5-8566-f5b249d63205,1,3,0,incorrect_first,B,e9e6e669-ddca-46f4-9d0a-c47e0ef8000a,df4a6d9e-9477-4b05-afe7-819881ca93ff,True,claude-3-opus-20240229
7436ea03-2798-4698-8b8d-e44c7cebc24b,8,2,0,correct_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,False,claude-3-haiku-20240307
a02feb83-bb5e-4e76-b2f0-0de44b1f69a8,8,2,0,incorrect_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,True,claude-3-haiku-20240307
b73ea74f-4426-4252-9dcd-fdadfd1ef3d6,8,2,0,correct_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,False,claude-3-sonnet-20240229
97d27e69-51c9-4318-af6e-f4cdba1c425c,8,2,0,incorrect_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,True,claude-3-sonnet-20240229
6ec42991-3dd2-4ac9-9767-aeb7b1d42552,8,2,0,correct_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,False,claude-3-opus-20240229
9d9e7e0b-9e28-40a7-aaaf-a5bc0ce93838,8,2,0,incorrect_first,B,9ac3a36b-1b80-4c73-8da2-d986582d2a96,1280358d-9adf-4212-ae94-c995e9bb60d6,True,claude-3-opus-20240229
f6e2b7fc-9ec0-4705-bdf9-0803868a462d,20,3,0,correct_first,B,7f880b7e-08f0-4177-9454-d1a37770ae1d,70cbd277-4b61-4a4e-9e72-4b5851e62818,False,claude-3-haiku-20240307
ab8c45ce-fd32-4e9e-9e88-ade515aae1c3,20,3,0,incorrect_first,B,7f880b7e-08f0-4177-9454-d1a37770ae1d,70cbd277-4b61-4a4e-9e72-4b5851e62818,True,claude-3-haiku-20240307
7d13324a-d9b0-4861-808f-040c3aba8ee7,20,3,0,correct_first,B,7f880b7e-08f0-4177-9454-d1a37770ae1d,70cbd277-4b61-4a4e-9e72-4b5851e62818,False,claude-3-sonnet-20240229
abca32e4-6cb7-497a-920d-92a34574d6d2,20,3,0,incorrect_first,B,7f880b7e-08f0-4177-9454-d1a37770ae1d,70cbd277-4b61-4a4e-9e72-4b5851e62818,True,claude-3-sonnet-20240229
